Emoji Name,Emoji Icon,Time(s) Used
Mobile Phone With Arrow,📲,1
Rainbow,🌈,1
Palm Tree,🌴,1
Busts In Silhouette,👥,1
Thread,🧵,1
T-Shirt,👕,1
Cricket,🦗,1
Luggage,🧳,1
Video Camera,📹,1
Admission Tickets,🎟,1
Page With Curl,📃,1
Astonished Face,😲,1
Stopwatch,⏱,1
Stadium,🏟,1
Airplane,✈,1
Building Construction,🏗,1
Boxing Glove,🥊,1
People Hugging,🫂,1
Green Heart,💚,1
Tired Face,😫,1
Person Shrugging,🤷,1
Oncoming Fist,👊,1
Upside-Down Face,🙃,1
Input Latin Letters,🔤,1
Star-Struck,🤩,1
Rolled-Up Newspaper,🗞,1
Locked,🔒,1
Two-Hump Camel,🐫,1
Smiling Face With Open Hands,🤗,1
Face With Hand Over Mouth,🤭,1
Balloon,🎈,1
Soccer Ball,⚽,1
Microphone,🎤,1
Sparkler,🎇,1
Woman And Man Holding Hands,👫,1
Shooting Star,🌠,1
See-No-Evil Monkey,🙈,1
Bookmark Tabs,📑,1
Input Numbers,🔢,1
